dataset name,accuracy median,accuracy mean,f1 score median,f1 score mean
01_iris_setosa_versicolor,1.0,1.0,1.0,1.0
02_iris_setosa_virginica,1.0,1.0,1.0,1.0
03_iris_versicolor_virginica,0.95,0.95,0.9333333333333333,0.9382820512820512
04_seeds_1_2,0.8928571428571429,0.8928571428571429,0.8888888888888888,0.890432864626413
05_ecoli_cp_im,0.9545454545454546,0.9636363636363636,0.9375,0.9474078341013825
06_glasses_1_2,0.5625,0.6,0.3333333333333333,0.3624269005847953
07_breast_tissue_adi_fadmasgla,1.0,0.9866666666666667,1.0,0.9904761904761905
08_breast_cancer_lite,0.5625,0.6,0.5882352941176471,0.5352941176470589
09_accent_recognition_uk_us,0.75,0.7875,0.8333333333333334,0.853013653013653
10_leaf_11_9,1.0,1.0,1.0,1.0
11_vertebral_column_2C,0.7096774193548387,0.7064516129032258,0.25,0.25987645291889777
12_breast-cancer,0.9646017699115044,0.959509392951405,0.945054945054945,0.9435507302852354
